City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
308,Davila,PH,84.18,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
312,Sydney,AU,81.9,scattered clouds,-33.8679,151.2073,The Grace Sydney
313,Fare,PF,78.62,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
317,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
323,Kimbe,PG,86.29,light rain,-5.5502,150.1429,Kimbe Bay Hotel
327,Beloha,MG,79.41,clear sky,-25.1667,45.05,
331,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
332,Ternate,ID,82.22,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
335,Buala,SB,83.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
336,Mananjary,MG,75.33,light rain,-21.2167,48.3333,Vahiny Lodge
349,Kieta,PG,82.27,light rain,-6.2167,155.6333,Uruna Bay Retreat
353,Bengkulu,ID,82.58,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
354,Hervey Bay,AU,79.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
355,Mount Gambier,AU,80.33,overcast clouds,-37.8333,140.7667,The Commodore
356,Sambava,MG,79.74,broken clouds,-14.2667,50.1667,Melrose
362,Ratnagiri,IN,82.42,few clouds,16.9833,73.3,Hotel Landmark
366,Bonfim,BR,75.6,scattered clouds,3.0833,-59.95,
373,Cockburn Town,TC,76.51,clear sky,21.4612,-71.1419,Osprey Beach Hotel
383,Collie,AU,88.23,clear sky,-33.3667,116.15,Collie Ridge
391,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
396,Amboasary,MG,80.37,broken clouds,-25.0333,46.3833,Le Bon Samaritain
401,Peravurani,IN,79.12,few clouds,10.3,79.1833,Eka RESIDENCY A/C
409,Colesberg,ZA,78.89,scattered clouds,-30.72,25.0972,Bhelekazi Guesthouse
410,Micheweni,TZ,81.03,broken clouds,-4.9667,39.8333,
434,Honiara,SB,84.16,moderate rain,-9.4333,159.95,Heritage Park Hotel
437,Sinjai,ID,86.41,overcast clouds,-5.1241,120.253,Wisma Sandika
439,Luwuk,ID,84.88,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
442,Piacabucu,BR,76.44,clear sky,-10.4056,-36.4344,Piaçabuçu News
443,Beitbridge,ZW,75.43,clear sky,-22.2167,30.0,Beitbridge Express Hotel
446,San Andres,CO,80.62,light rain,12.5847,-81.7006,Hotel Arena Blanca
453,Emerald,AU,89.4,light rain,-23.5333,148.1667,Emerald Inn
458,Kanniyakumari,IN,80.08,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
468,Garissa,KE,77.77,clear sky,-0.4536,39.6401,Safari Hotel
469,Srandakan,ID,84.22,overcast clouds,-7.9386,110.2506,Puri Brata
470,Champerico,GT,76.32,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
471,Jawhar,SO,78.17,few clouds,2.7809,45.5005,Hotel Shabelle
475,Berbera,SO,76.87,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
476,Thinadhoo,MV,80.08,broken clouds,0.5333,72.9333,
477,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
487,Isla Mujeres,MX,76.01,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
492,Carutapera,BR,78.06,overcast clouds,-1.195,-46.02,Lidera
493,Kirakira,SB,82.11,overcast clouds,-10.4544,161.9205,SanBiz Lodge
498,Auki,SB,82.2,overcast clouds,-8.7676,160.7034,Auki Motel
499,Sumenep,ID,84.24,overcast clouds,-7.0167,113.8667,Family Nur Hotel
505,Itaqui,BR,77.2,few clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
510,Sabang,ID,79.07,overcast clouds,5.8933,95.3214,Hotel Citra
519,Pipri,IN,75.2,clear sky,19.8,75.5333,Shree swami bramhanand uphar gruh
520,Eydhafushi,MV,79.32,overcast clouds,5.1033,73.0708,Soneva Fushi
521,Ciudad Guayana,VE,75.52,clear sky,8.3533,-62.6528,Hotel Las Americas
530,Domoni,KM,81.32,overcast clouds,-12.2569,44.5319,Al Djadid
531,Manggar,ID,84.58,overcast clouds,-2.8833,108.2667,Guest Hotel
539,Pucallpa,PE,76.96,overcast clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
547,Tabuk,PH,78.84,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
551,Eyl,SO,76.39,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
552,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
587,Rambha,IN,77.72,clear sky,19.5167,85.1,OTDC Panthanivas - Rambha
592,Belmonte,BR,75.67,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
603,Cotonou,BJ,76.42,clear sky,6.3654,2.4183,Novotel Cotonou Orisha
607,Ambanja,MG,79.05,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
609,Vaitape,PF,80.71,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
611,Badvel,IN,75.29,clear sky,14.75,79.05,Venkatalakshuma five star tiffin centre
613,Pozo Colorado,PY,77.59,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
614,Kalmunai,LK,77.5,overcast clouds,7.4167,81.8167,VS Villa
616,Hobyo,SO,78.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
619,Mackay,AU,81.68,broken clouds,-21.15,149.2,International Lodge Motel
620,Siayan,PH,76.42,overcast clouds,8.2667,123.1,Beverly Dumaboc
624,Quatre Cocos,MU,82.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
625,Phan Thiet,VN,83.03,overcast clouds,10.9333,108.1,Hotel Saigon-PT
628,Mumford,GH,76.37,scattered clouds,5.2618,-0.759,Peace Guest House
648,Tsabong,BW,81.28,broken clouds,-26.0217,22.401,Springbok Motel
649,Namatanai,PG,83.52,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
651,Pundaguitan,PH,80.31,light rain,6.3711,126.1689,Leonardo Family Beach House 1
657,Bandarbeyla,SO,76.78,clear sky,9.4942,50.8122,JABIR HOTEL
662,Mahibadhoo,MV,80.26,overcast clouds,3.7833,72.9667,Omadhoo Inn
